Street Name,dia,hora,Current Speed (km/h)
Alfonso Reyes,2024-09-23,23,17.42527563571474
Alfonso Reyes,2024-09-24,0,18.200000000000003
Alfonso Reyes,2024-09-24,1,17.95734597156398
Alfonso Reyes,2024-09-24,2,19.18979512949362
Alfonso Reyes,2024-09-24,3,17.65701219512195
Alfonso Reyes,2024-09-24,4,18.713329902213072
Alfonso Reyes,2024-09-24,5,17.41935483870968
Alfonso Reyes,2024-09-24,6,17.386752950133232
Alfonso Reyes,2024-09-24,7,15.825991189427313
Alfonso Reyes,2024-09-24,8,15.81700719575608
Alfonso Reyes,2024-09-24,9,15.15328256049359
Alfonso Reyes,2024-09-24,10,13.64665162946255
Alfonso Reyes,2024-09-24,11,13.549083340827629
Alfonso Reyes,2024-09-24,12,13.428445229681978
Alfonso Reyes,2024-09-24,13,12.747869583422927
Alfonso Reyes,2024-09-24,14,12.221182634730539
Alfonso Reyes,2024-09-24,15,13.380908225151622
Alfonso Reyes,2024-09-24,16,12.54507628294036
Alfonso Reyes,2024-09-24,17,12.76576444633952
Alfonso Reyes,2024-09-24,18,13.524193548387096
Alfonso Reyes,2024-09-24,19,14.94785219970341
Alfonso Reyes,2024-09-24,20,13.92647777234978
Alfonso Reyes,2024-09-24,21,14.629446640316207
Alfonso Reyes,2024-09-24,22,15.216062854648627
Alfonso Reyes,2024-09-24,23,17.013593882752765
Alfonso Reyes,2024-09-25,0,17.962210483543274
Alfonso Reyes,2024-09-25,1,17.263513513513516
Alfonso Reyes,2024-09-25,2,18.136363636363637
Alfonso Reyes,2024-09-25,3,19.1735621877802
Alfonso Reyes,2024-09-25,4,18.179800221975583
Alfonso Reyes,2024-09-25,5,17.24681965577451
Alfonso Reyes,2024-09-25,6,17.145061093512155
Alfonso Reyes,2024-09-25,7,16.085397653194264
Alfonso Reyes,2024-09-25,8,15.886840432294978
Alfonso Reyes,2024-09-25,9,14.852709587772118
Alfonso Reyes,2024-09-25,10,14.651162790697674
Alfonso Reyes,2024-09-25,11,14.264354066985646
Alfonso Reyes,2024-09-25,12,13.629099319162208
Alfonso Reyes,2024-09-25,13,12.870967741935484
Alfonso Reyes,2024-09-25,14,12.841569767441861
Alfonso Reyes,2024-09-25,15,13.15263960496696
Alfonso Reyes,2024-09-25,16,12.136363636363637
Alfonso Reyes,2024-09-25,17,12.860862621656967
Alfonso Reyes,2024-09-25,18,11.933095450490633
Alfonso Reyes,2024-09-25,19,12.902376514445479
Alfonso Reyes,2024-09-25,20,14.133260650788326
Alfonso Reyes,2024-09-25,21,14.293618116314978
Alfonso Reyes,2024-09-25,22,15.78294979079498
Alfonso Reyes,2024-09-25,23,15.590876620063273
Alfonso Reyes,2024-09-26,0,17.70734597156398
Alfonso Reyes,2024-09-26,1,17.46414852752881
Alfonso Reyes,2024-09-26,2,19.114800153237134
Alfonso Reyes,2024-09-26,3,18.57594783868631
Alfonso Reyes,2024-09-26,4,20.1115041743314
Alfonso Reyes,2024-09-26,5,19.092857142857145
Alfonso Reyes,2024-09-26,6,16.772727272727273
Alfonso Reyes,2024-09-26,7,15.889365760610396
Alfonso Reyes,2024-09-26,8,15.013212948689716
Alfonso Reyes,2024-09-26,9,14.061257729681978
Alfonso Reyes,2024-09-26,10,13.810520701380092
Alfonso Reyes,2024-09-26,11,13.12515824120179
Alfonso Reyes,2024-09-26,12,12.54507628294036
Alfonso Reyes,2024-09-26,13,13.357057237039257
Alfonso Reyes,2024-09-26,14,11.446958101770383
Alfonso Reyes,2024-09-26,15,11.541718555417185
